"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"731","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 1190 Mission Street, Unit 1309 (Trinity Place)",3055,81.15,57.26,"2M 4S",5473,4683
"732","Board of Supervisors : About Us",635,62.2,20.76,"46S",5473,3188
"733","San Francisco : Office of the Assessor-Recorder",3335,78.41,72.42,"2M 56S",5464,4327
"734","San Francisco Police Department : Carrying a Concealed Weapon (CCW) Information and Application",3929,92.31,76.32,"2M 16S",5457,5214
"735","Office of the Mayor : Public Policy and Finance",2474,51.66,39.86,"1M 8S",5456,4217
"736","San Francisco Department of Human Resources : Custodian and Porter Candidate Information",1619,65.78,37.08,"1M 54S",5450,3846
"737","Mayor's Office of Housing and Community Development : About Us",1045,87.08,30.27,"47S",5421,4451
"738","Fire Station Locations | Fire Department",3138,50.77,64.25,"3M 40S",5413,4620
"739","San Francisco District Attorney : Search",589,93.55,34.96,"59S",5409,4963
"740","San Francisco Law Library : Location and Hours",2145,75.2,59.77,"1M 43S",5391,4563
"741","San Francisco Rent Board : Section 37.9C Tenants Rights To Relocation For No-Fault Evictions",2701,76.05,57.8,"3M 30S",5329,4646
"742","San Francisco Rent Board : Annual Rent Increase for 3/1/15 – 2/29/16 Announced",1339,68.63,41.34,"1M 55S",5327,4656
"743","City and County of San Francisco : Applications",1290,63.8,53.15,"3M 56S",5317,3818
"744","Mayor's Office of Housing and Community Development : BMR Dowpayment Assistance Loan Program (BMR DALP)",1545,72.17,30.4,"58S",5309,4195
"745","San Francisco Fire Department : NERT Calendar & Special Events",2225,69.08,55.07,"2M 30S",5306,4371
"746","Mayor's Office of Housing and Community Development : Former SFRA Housing Programs",3148,59.91,48.14,"2M 8S",5299,4248
"747","San Francisco 311 : Report Water Waste",3878,83.88,76.18,"2M 25S",5286,4703
"748","San Francisco 311 : Sewer and Flooding Issues",2667,81.78,73.26,"3M 10S",5281,4610
"749","SFGov : O365 Email Project",4120,84.95,79.88,"2M 37S",5278,4490
"750","Department of Children, Youth and Their Families : Redirect",5260,99.9,99.89,"1M 47S",5266,5261
"751","San Francisco Port Department : About",253,15.02,13.85,"33S",5265,2109
"752","City and County of San Francisco : 14B Local Business Enterprise Ordinance",296,28.72,7.28,"24S",5259,4109
"753","Board of Supervisors : 2015 Public Notices",654,53.67,18.72,"1M 21S",5236,1961
"754","San Francisco 311 : Garbage",1684,74.64,52.3,"1M 43S",5233,4248
"755","Approved Plans and Documents | Treasure Island Development Authority",979,41.96,25.14,"1M 12S",5226,3808
"756","San Francisco Department of Human Resources : Supervisory Test Battery Information",2040,75.39,48.12,"2M 3S",5220,4557
"757","GRPY14_Extension_Request_POSTED_1.14.15.pdf | Treasurer & Tax Collector",1087,53.17,38.79,"3M 40S",5205,3701
"758","San Francisco Department of Human Resources : Disaster Service Worker Video",1518,66.47,37.13,"6M 2S",5203,3879
"759","San Francisco Police Department : Anonymous Tip Lines",2965,73.73,65.84,"2M 56S",5191,4407
"760","San Francisco Port Department : Project Map",785,17.2,18.48,"26S",5189,1947
"761","City and County of San Francisco : About Naomi Kelly",1821,58.92,35.99,"1M 13S",5162,4333
"762","Controller : Annual Salary Ordinance (ASO)",4147,81.05,78.25,"3M 31S",5140,4543
"763","Board of Supervisors : Legislation Passed",1484,44.41,20.88,"34S",5119,4116
"764","Frequently Asked Questions | Treasurer & Tax Collector",2115,70.73,47.8,"1M 46S",5113,4450
"765","City and County of San Francisco : Fees - Birth & Death Certificates",455,55.82,29.73,"1M 22S",5112,4367
"766","San Francisco Rent Board : Redirect",5055,99.45,99.19,"1M 0S",5093,5074
"767","City and County of San Francisco : Agendas",261,50.19,8.23,"24S",5092,2664
"768","San Francisco Fire Department : Inspections",2807,69.15,55.46,"2M 11S",5081,4390
"769","Board of Supervisors : Rules Committee Meetings",474,63.29,35.22,"1M 42S",5074,3410
"770","San Francisco Port Department : Ferries",1166,28.47,28.67,"34S",5061,2179
"771","City and County of San Francisco : ACC and Foster Care Programs",3501,84.66,72.03,"1M 48S",5041,4316
"772","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 125 Mason Street, Unit 104",3215,78.6,62.45,"2M 33S",5036,4245
"773","Marriage: General Information | Office of the County Clerk",296,61.79,35.47,"2M 50S",5035,3809
"774","San Francisco Port Department : 2014 Cruise Schedule",2068,21.23,28.73,"32S",5033,2495
"775","City and County of San Francisco : 2015",201,60.7,14.52,"36S",5028,2589
"776","Housing and Urban Design | Treasure Island Development Authority",430,69.21,35.09,"1M 38S",5021,3642
"777","Building Plan Review | Department of Building Inspection",210,50,16.31,"44S",5004,3846
"778","San Francisco Public Works : Temporary Occupancy",1391,11.65,37.53,"1M 20S",5001,2332
"779","Mayor's Office of Housing : Housing Email Alert Subscription",1461,78.23,42.2,"2M 4S",4998,4342
"780","City and County of San Francisco : Local Elected Officials",2716,77.95,60.32,"2M 36S",4987,4359
"781","SF Biz Tax | San Francisco",3526,72.23,68.65,"4M 54S",4983,3693
"782","Mayor's Office of Housing : BMR Resale: 88 Hoff Street, Unit 101",2664,75.15,55.68,"2M 25S",4980,3915
"783","San Francisco Fire Department : Photo Gallery",1359,91.98,38.15,"50S",4980,2838
"784","San Francisco Port Department : Pier 70 Implementation",782,15.86,25.56,"39S",4968,2288
"785","SFERS : Deferred Compensation",2953,90.86,66.42,"59S",4955,3953
"786","San Francisco Police Department",1324,68.43,26.42,"42S",4943,3170
"787","City and County of San Francisco : Update Your Registration",1055,68.82,51.22,"2M 20S",4932,3467
"788","San Francisco 311 : Construction Complaints",2873,76.23,67.54,"3M 6S",4929,3794
"789","San Francisco Rent Board : Topic No. 251: General Lease Issues",1548,64.47,35.53,"1M 50S",4920,4294
"790","Green Building Ordinance | Department of Building Inspection",3877,73.1,69.54,"4M 10S",4915,4257
"791","City and County of San Francisco : Fourth Floor",143,54.55,9.75,"23S",4914,3710
"792","City and County of San Francisco : Adoption Requirements",280,51.07,14.57,"43S",4913,3787
"793","Golf Resident Card | Treasurer & Tax Collector",4014,81.78,80.43,"3M 40S",4905,4262
"794","San Francisco Fire Department : Deputy Chief of Operations",751,88.28,22.11,"29S",4893,3354
"795","Search For Adoptable Animals | Animal Care & Control",1117,74.46,64.74,"2M 57S",4889,3968
"796","San Francisco Fire Department : Chief of Department - Joanne Hayes-White",1930,76.27,46.03,"1M 47S",4886,4363
"797","San Francisco Police Department : Missing Persons",2287,55.53,35.99,"35S",4871,2635
"798","City and County of San Francisco : Combined Charities",3794,62.44,52.34,"34S",4866,3870
"799","San Francisco Public Works : Director of Public Works",2028,22.44,37.08,"32S",4863,2449
"800","Property Tax Overview | Treasurer & Tax Collector",303,50,17.51,"51S",4854,3898
"801","Mayor's Office of Housing and Community Development : American Dream Downpayment Assistance Initiative (ADDI)",3676,88.44,74.5,"2M 0S",4851,4481
"802","San Francisco Fire Department : Fire Commission",1236,31.55,10.25,"10S",4850,3715
"803","Understanding Property Tax | Treasurer & Tax Collector",2606,72.87,58.89,"1M 47S",4848,4358
"804","Board of Supervisors : Budget & Finance SubCommittee",535,48.04,27.47,"1M 21S",4846,2885
"805","Mayor's Office of Housing and Community Development : BMR Resale: 888 7th Street, Unit 304",2947,72.51,61.47,"2M 55S",4843,3782
"806","City and County of San Francisco : Shelter Hours - Open to the Public",439,66.97,34.26,"1M 12S",4834,4212
"807","San Francisco Public Works : SF Public Works Code",1026,11.7,28.54,"42S",4831,2248
"808","Contact Us | Fire Department",1535,69.35,55,"2M 23S",4829,3741
"809","San Francisco Rent Board : Topic No. 052: Imposing the Annual Allowable Increase",1473,71.01,37.91,"2M 20S",4822,4231
"810","Mayor's Office of Housing and Community Development : 550 S. Van Ness Avenue, Unit 102",2008,75.1,47.6,"1M 58S",4821,3910
"811","San Francisco : OpenGov Directory",2195,60.59,45.89,"1M 27S",4820,3881
"812","San Francisco Port Department : Parking - Street Parking and Special Event Parking",2187,28.99,45.94,"39S",4817,2419
"813","Office of the Mayor : Housing",2123,72.96,53.81,"1M 37S",4817,3706
"814","Office of the Assessor-Recorder | Welcome",2290,19.76,50.51,"1M 51S",4811,3818
"815","Mayor's Office of Housing : BMR Rental Application",1358,84.24,43.45,"1M 41S",4808,3977
"816","Housing Inspection - Code Enforcement | Department of Building Inspection",3539,66.05,63.65,"2M 15S",4803,4145
"817","Mayor's Office of Housing : Multifamily Units: Broadway Sansome Apartments",2091,81.64,53.71,"2M 40S",4796,4183
"818","SFGov : Home",2867,65.96,50.57,"42S",4795,3900
"819","Bill Types | Treasurer & Tax Collector",285,49.82,16.17,"1M 5S",4792,3948
"820","City and County of San Francisco : San Francisco Administrative Code Chapter 12H: Immigration Status",2709,90.51,75.85,"3M 25S",4778,4291
"821","San Francisco Public Works : Streets",1048,16.98,22.5,"27S",4768,2318
"822","Film Commission : Permit Application",2115,63.83,50.9,"2M 51S",4756,3698
"823","San Francisco Rent Board : Topic No. 202: General Eviction Notice Requirements",1448,66.99,34.16,"1M 54S",4751,4020
"824","San Francisco Ethics Commission: Search",86,17.44,11.55,"50S",4745,3281
"825","San Francisco Fire Department : Meeting Calendar, Rules of Order & Rules Governing Discipline",2477,78.85,59.44,"2M 4S",4744,4019
"826","San Francisco Police Department : Reserve Police Officer Program",2678,86.59,65.65,"2M 27S",4733,4385
"827","Controller : 1649 Accountant Intern Program",3297,80.25,70.7,"2M 53S",4717,4131
"828","San Francisco 311 : No/Low Income - List of Resources",2057,63.78,42.4,"1M 25S",4712,2843
"829","San Francisco Department of Human Resources : Policy on Language Diversity",4230,95.77,90.23,"2M 58S",4710,4455
"830","Vacant or Abandoned Buildings | Department of Building Inspection",2153,69.16,50.62,"1M 53S",4710,3270
"831","San Francisco Port Department : Getting Here",601,1.5,19.57,"24S",4707,1701
"832","Gross Receipts and Payroll Expense Tax Quarterly Installment Payment Due | Treasurer & Tax Collector",369,20.6,6.97,"32S",4704,3742
"833","Convenience Fee | Treasurer & Tax Collector",736,75.07,35.49,"2M 4S",4703,4034
"834","San Francisco Port Department : Supporting",152,0,3.27,"3S",4703,1713
"835","Board of Supervisors : Government Audit & Oversight Committee Meetings",561,70.41,31.09,"1M 22S",4700,3130
"836","San Francisco Police Department : Frequently Asked Questions",476,35.5,22.56,"48S",4699,4091
"837","San Francisco Rent Board : Topic No. 153: Rent Increases Under Section 6.14 And Costa-Hawkins",1577,71.02,41.95,"2M 35S",4694,4067
"838","Office of the Mayor : Neighborhood Services",1857,46.47,30.64,"42S",4680,3492
"839","San Francisco Public Works : Garbage and Recycling Receptacles",2269,29.04,42.5,"48S",4673,2506
"840","SFERS : Member Communications",1157,97.32,31.01,"34S",4673,3583
"841","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 1 Polk Street, Unit 301",3198,75.11,65.89,"3M 18S",4662,3931
"842","City and County of San Francisco : Formula Retail Labor Protections",1462,68.4,53.95,"3M 45S",4643,3304
"843","Mayor's Office of Housing : Income Limits and Sales Price Levels for MOHCD Homeownership Programs",1917,76.68,53.36,"2M 48S",4640,4026
"844","San Francisco : San Francisco Employees’ Retirement System",2576,83.07,75.39,"4M 28S",4632,3778
"845","City and County of San Francisco : Field Services",663,65.61,28.11,"55S",4617,3785
"846","Housing and Utilities | Welcome",422,40.38,40,"1M 29S",4613,3337
"847","San Francisco Public Works : SoMa West - Skate Park and Dog Play Area",2788,50.07,59.6,"47S",4607,2821
"848","Search | Rent Board",235,32.87,16.11,"1M 9S",4599,4223
"849","San Francisco Public Works : Road Construction In Your Neighborhood",1642,24.18,31.76,"31S",4597,2016
"850","San Francisco Ethics Commission: Campaign Finance Dashboards - November 3, 2015 Election",1752,83.39,61.62,"3M 25S",4581,3649
"851","Mayor's Office of Housing and Community Development : Redirect",4546,99.89,99.61,"8S",4564,4553
"852","San Francisco 311 : Public Right of Way Blocked by Parking or Activity",2338,82.59,69.16,"2M 25S",4556,3787
"853","City Payment Center | Treasurer & Tax Collector",846,25.65,15.93,"1M 1S",4538,3902
"854","San Francisco Police Department : Compstat Reports",1508,66.78,37.88,"38S",4538,3097
"855","City and County of San Francisco : North Light Court",328,58.23,9.3,"21S",4537,3542
"856","Office of the Mayor : HOPE",2530,34.19,29.12,"43S",4529,3572
"857","San Francisco Rent Board : Topic No. 019: Partial Exemption for Certain Single-Family Homes and Condominiums Under Costa-Hawkins",1698,71.91,48.99,"3M 43S",4523,3936
"858","Mayor's Office of Housing : New BMR Units: 8 Octavia Blvd.",975,84.62,29.63,"1M 33S",4516,3916
"859","City and County of San Francisco : Fair Chance Ordinance - Employers Citywide",1571,66.33,54.3,"2M 44S",4510,3579
"860","City and County of San Francisco : San Francisco Labor Laws - City Contractors",484,39.46,16.54,"43S",4509,3350
"861","Board of Supervisors : Clerk of the Board",1288,50.62,25.28,"43S",4501,3516
"862","City and County of San Francisco : Living with Local Wildlife",3225,86.48,77.13,"3M 25S",4500,4055
"863","Cost Schedule | Department of Building Inspection",381,49.48,27.76,"1M 49S",4499,3185
"864","Mayor's Office of Housing : BMR Re-Rental Unit: 125 Mason Street, Unit 705",2656,75.08,59.54,"2M 24S",4496,3718
"865","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 77 Bluxome Street, Unit 416",3077,74.88,66.03,"3M 34S",4492,3681
"866","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 388 Beale Street, Unit 806",2943,73.97,63.56,"3M 20S",4492,3743
"867","Mayor's Office of Housing and Community Development : BMR Downpayment Assistance Loan Program (BMR DALP) Overview",1746,80.07,51.56,"3M 15S",4474,4036
"868","Controller : FAMIS Home",3127,74.48,66.36,"2M 4S",4471,4055
"869","Tax on Transient Occupancy of Hotel Rooms | Treasurer & Tax Collector",3440,67.52,61.97,"2M 16S",4465,3834
"870","San Francisco Public Works : Press Room",1140,11.84,24.44,"21S",4460,1758
"871","San Francisco Rent Board : Topic No. 260: Handling Repair Problems",727,72.76,29.61,"1M 22S",4445,3942
"872","San Francisco Public Works : Potholes",1043,23.87,26.55,"29S",4422,2080
"873","Search | Human Rights Commission",336,10.68,16.51,"34S",4410,3657
"874","Office of the Mayor : Offices Accepting Applications",481,42,16.31,"37S",4407,2213
"875","San Francisco 311 : Obtaining a Certified Copy of Marriage License (Marriage Certificate) - 106816",2836,69.29,63,"2M 39S",4397,2867
"876","San Francisco Port Department : Waterfront Land Use Plan Chapters",224,3.57,10.28,"36S",4397,1427
"877","Application for Property Tax Penalty Waiver | Treasurer & Tax Collector",2335,78.15,69.68,"5M 21S",4396,3886
"878","City and County of San Francisco : Publication Requirements",1013,52.12,30.6,"1M 30S",4396,3496
"879","Mayor's Office of Housing and Community Development : Housing Preference Programs",663,85.22,18.53,"22S",4388,3754
"880","Board of Supervisors : Regularly Scheduled Board Meetings",1051,73.64,48.26,"1M 32S",4385,3750
"881","San Francisco Rent Board : Section 37.3 Rent Limitations",750,77.07,37.74,"2M 55S",4383,3784
"882","Appeal Process | Board of Appeals",494,50.91,33.55,"1M 50S",4378,2608
"883","City and County of San Francisco : Earthquake Safety Implementation Program",2474,42.56,35.74,"1M 24S",4376,3254
"884","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 388 Beale Street, Unit 706",2345,82.73,55.81,"1M 58S",4361,3840
